character_1,character_2,char1_wins,char2_wins,total_games,char1_winrate
metaknight,ness,6,2,8,0.75
kazuya,young link,4,1,5,0.8
littlemac,zelda,9,3,12,0.75
bowser,pokemon trainer,21,21,42,0.5
king k. rool,pokemon trainer,9,12,21,0.42857142857142855
bowser,toon link,15,8,23,0.6521739130434783
luigi,roy,12,3,15,0.8
bowser,pacman,9,3,12,0.75
kazuya,ness,4,2,6,0.6666666666666666
ken,young link,12,3,15,0.8
isabelle,zelda,4,1,5,0.8
bowser,pikachu,12,8,20,0.6
diddy kong,luigi,10,7,17,0.5882352941176471
lucina,pacman,7,8,15,0.4666666666666667
ness,wario,11,8,19,0.5789473684210527
ken,zelda,10,9,19,0.5263157894736842
pikachu,pokemon trainer,21,8,29,0.7241379310344828
diddy kong,lucina,17,11,28,0.6071428571428571
ken,wario,13,1,14,0.9285714285714286
diddy kong,pikachu,27,23,50,0.54
pikachu,wario,16,9,25,0.64
metaknight,young link,3,2,5,0.6
bowser,isabelle,9,3,12,0.75
roy,young link,15,7,22,0.6818181818181818
bowser,metaknight,10,4,14,0.7142857142857143
isabelle,young link,3,4,7,0.42857142857142855
bowser,bowser,11,13,24,0.4583333333333333
pokemon trainer,young link,19,15,34,0.5588235294117647
lucina,pokemon trainer,28,19,47,0.5957446808510638
bowser,zelda,13,7,20,0.65
ness,zelda,20,14,34,0.5882352941176471
ken,pokemon trainer,13,10,23,0.5652173913043478
diddy kong,zelda,10,10,20,0.5
ken,pikachu,17,14,31,0.5483870967741935
captainfalcon,hero,8,5,13,0.6153846153846154
kazuya,sonic,7,0,7,1.0
captainfalcon,sonic,14,9,23,0.6086956521739131
robin,sonic,8,6,14,0.5714285714285714
isabelle,sonic,6,5,11,0.5454545454545454
diddy kong,dr. mario,5,1,6,0.8333333333333334
bowser,young link,10,13,23,0.43478260869565216
bowser,roy,26,12,38,0.6842105263157895
roy,sora,11,1,12,0.9166666666666666
pikachu,steve,7,2,9,0.7777777777777778
falco,young link,18,10,28,0.6428571428571429
bowser,diddy kong,23,10,33,0.696969696969697
roy,zelda,13,5,18,0.7222222222222222
king k. rool,samus,10,6,16,0.625
falco,sonic,14,7,21,0.6666666666666666
bowser,ken,11,9,20,0.55
pikachu,roy,9,5,14,0.6428571428571429
falco,sora,8,1,9,0.8888888888888888
falco,samus,17,2,19,0.8947368421052632
diddy kong,sora,8,4,12,0.6666666666666666
samus,sora,11,0,11,1.0
dr. mario,young link,3,2,5,0.6
roy,steve,6,5,11,0.5454545454545454
byleth,king k. rool,7,5,12,0.5833333333333334
bowser,steve,10,4,14,0.7142857142857143
king k. rool,sonic,5,6,11,0.45454545454545453
falco,steve,4,3,7,0.5714285714285714
pikachu,young link,11,6,17,0.6470588235294118
bowser,falco,19,10,29,0.6551724137931034
sonic,zelda,21,10,31,0.6774193548387096
falco,pikachu,19,6,25,0.76
falco,zelda,11,12,23,0.4782608695652174
falco,ken,6,11,17,0.35294117647058826
diddy kong,falco,18,12,30,0.6
diddy kong,samus,11,7,18,0.6111111111111112
bowser,luigi,19,6,25,0.76
bowser,inkling,17,13,30,0.5666666666666667
rob,roy,19,17,36,0.5277777777777778
bowser,sonic,14,4,18,0.7777777777777778
snake,young link,22,16,38,0.5789473684210527
bowser,samus,10,6,16,0.625
inkling,ness,30,18,48,0.625
diddy kong,duckhunt,9,5,14,0.6428571428571429
rob,sonic,37,22,59,0.6271186440677966
bowser,snake,26,18,44,0.5909090909090909
inkling,samus,21,13,34,0.6176470588235294
snake,sonic,42,23,65,0.6461538461538462
samus,zelda,18,4,22,0.8181818181818182
samus,sonic,19,9,28,0.6785714285714286
luigi,young link,11,4,15,0.7333333333333333
duckhunt,pokemon trainer,4,8,12,0.3333333333333333
ken,luigi,7,3,10,0.7
pokemon trainer,roy,18,15,33,0.5454545454545454
bowser,ness,18,18,36,0.5
inkling,luigi,16,6,22,0.7272727272727273
diddy kong,inkling,19,9,28,0.6785714285714286
bowser,rob,28,13,41,0.6829268292682927
inkling,snake,39,24,63,0.6190476190476191
rob,zelda,17,10,27,0.6296296296296297
inkling,rob,21,22,43,0.4883720930232558
rob,samus,25,8,33,0.7575757575757576
captainfalcon,mario,14,9,23,0.6086956521739131
ness,pyra mythra,14,7,21,0.6666666666666666
falco,ike,11,10,21,0.5238095238095238
king k. rool,mario,14,1,15,0.9333333333333333
mario,marth,5,5,10,0.5
pyra mythra,shulk,9,3,12,0.75
mario,mario,3,13,16,0.1875
falco,shulk,13,4,17,0.7647058823529411
mario,shulk,37,11,48,0.7708333333333334
captainfalcon,pyra mythra,3,5,8,0.375
marth,ness,7,4,11,0.6363636363636364
