character_1,character_2,char1_wins,char2_wins,total_games,char1_winrate,char1_normalized,char2_normalized,id_char1,weight_char1,recovery_char1,speed_char1,combo_game_char1,projectiles_char1,killpower_char1,ledgetrap_char1,edgeguard_char1,spacing_char1,cheese_char1,popularity_char1,pro_scene_char1,online_winrate_char1,easy_char1,id_char2,weight_char2,recovery_char2,speed_char2,combo_game_char2,projectiles_char2,killpower_char2,ledgetrap_char2,edgeguard_char2,spacing_char2,cheese_char2,popularity_char2,pro_scene_char2,online_winrate_char2,easy_char2,weight_diff,recovery_diff,speed_diff,combo_game_diff,projectiles_diff,killpower_diff,ledgetrap_diff,edgeguard_diff,spacing_diff,cheese_diff
metaknight,ness,6,2,8,0.75,Meta Knight,Ness,27,80,9,6,33,1,119,12,42,3,2.0,5500,5.792,49.29,4.4992,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,-14,4,3,7,-3,-15,-13,22,-1,-7.0
kazuya,young link,4,1,5,0.8,Kazuya,Young Link,80,113,5,1,46,2,116,10,7,1,10.0,22100,8.638,53.49,5.6807,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,25,-1,-4,15,-3,-32,-8,-2,-3,3.0
littlemac,zelda,9,3,12,0.75,Little Mac,Zelda,49,87,1,8,25,1,116,25,4,2,10.0,18000,2.275,48.23,2.80305,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,2,-6,5,3,-4,-6,3,-12,0,3.0
bowser,pokemon trainer,21,21,42,0.5,Bowser,Pokemon Trainer,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,33,96,7,5,34,3,132,11,38,3,5.0,19100,7.608,46.59,4.993883333,39,-4,1,-4,-2,-2,12,-23,0,3.0
king k. rool,pokemon trainer,9,12,21,0.4285714285714285,King K. Rool,Pokemon Trainer,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,33,96,7,5,34,3,132,11,38,3,5.0,19100,7.608,46.59,4.993883333,37,-2,-2,-5,1,-2,6,-27,0,5.0
bowser,toon link,15,8,23,0.6521739130434783,Bowser,Toon Link,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,43,91,6,5,25,5,138,21,18,4,4.0,9000,6.249,51.7,3.5799,44,-3,1,5,-4,-8,2,-3,-1,4.0
luigi,roy,12,3,15,0.8,Luigi,Roy,9,97,3,3,40,2,112,8,10,1,9.0,23200,6.593,54.51,4.44425,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,2,-1,-4,9,1,-10,-11,-1,-3,6.0
kazuya,ness,4,2,6,0.6666666666666666,Kazuya,Ness,80,113,5,1,46,2,116,10,7,1,10.0,22100,8.638,53.49,5.6807,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,19,0,-2,20,-2,-18,-15,-13,-3,1.0
ken,young link,12,3,15,0.8,Ken,Young Link,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,15,-2,-1,4,-2,-37,5,-2,-3,-3.0
isabelle,zelda,4,1,5,0.8,Isabelle,Zelda,68,88,5,3,28,5,134,21,21,2,7.0,9000,4.12,52.89,3.70535,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,3,-2,0,6,0,12,-1,5,0,0.0
