character_1,character_2,char1_wins,char2_wins,total_games,char1_winrate,char1_normalized,char2_normalized,id_char1,weight_char1,recovery_char1,speed_char1,combo_game_char1,projectiles_char1,killpower_char1,ledgetrap_char1,edgeguard_char1,spacing_char1,cheese_char1,popularity_char1,pro_scene_char1,online_winrate_char1,easy_char1,id_char2,weight_char2,recovery_char2,speed_char2,combo_game_char2,projectiles_char2,killpower_char2,ledgetrap_char2,edgeguard_char2,spacing_char2,cheese_char2,popularity_char2,pro_scene_char2,online_winrate_char2,easy_char2,Weight_char1,Gravity_char1,Run Maximum Velocity_char1,Walk Maximum Velocity_char1,Maximum Horizontal Air Speed_char1,Maximum Fall Speed_char1,Dash Initial Velocity_char1,Maximum Air Acceleration_char1,Weight_char2,Gravity_char2,Run Maximum Velocity_char2,Walk Maximum Velocity_char2,Maximum Horizontal Air Speed_char2,Maximum Fall Speed_char2,Dash Initial Velocity_char2,Maximum Air Acceleration_char2,weight_diff,recovery_diff,speed_diff,combo_game_diff,projectiles_diff,killpower_diff,ledgetrap_diff,edgeguard_diff,spacing_diff,cheese_diff,Weight_diff,Gravity_diff,Run Maximum Velocity_diff,Walk Maximum Velocity_diff,Maximum Horizontal Air Speed_diff,Maximum Fall Speed_diff,Dash Initial Velocity_diff,Maximum Air Acceleration_diff,matchup_binary
metaknight,ness,6,2,8,0.75,Meta Knight,Ness,27,80,9,6,33,1,119,12,42,3,2.0,5500,5.792,49.29,4.4992,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,80.0,0.11,2.09,1.239,1.04,1.66,2.211,0.075,94.0,0.077,1.609,0.907,1.007,1.31,1.826,0.1,-14,4,3,7,-3,-15,-13,22,-1,-7.0,-14.0,0.033,0.48099999999999987,0.3320000000000001,0.03300000000000014,0.34999999999999987,0.3849999999999998,-0.02500000000000001,Char1_Wins
kazuya,young link,4,1,5,0.8,Kazuya,Young Link,80,113,5,1,46,2,116,10,7,1,10.0,22100,8.638,53.49,5.6807,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,,,,,,,,,,,,,,,,,25,-1,-4,15,-3,-32,-8,-2,-3,3.0,,,,,,,,,Char1_Wins
littlemac,zelda,9,3,12,0.75,Little Mac,Zelda,49,87,1,8,25,1,116,25,4,2,10.0,18000,2.275,48.23,2.80305,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,87.0,0.09,2.464,1.386,1.208,1.95,2.365,0.04,85.0,0.071,1.43,0.914,1.092,1.35,1.958,0.065,2,-6,5,3,-4,-6,3,-12,0,3.0,2.0,0.019000000000000003,1.034,0.47199999999999986,0.11599999999999988,0.5999999999999999,0.40700000000000025,-0.025,Char1_Wins
bowser,pokemon trainer,21,21,42,0.5,Bowser,Pokemon Trainer,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,33,96,7,5,34,3,132,11,38,3,5.0,19100,7.608,46.59,4.993883333,,,,,,,,,,,,,,,,,39,-4,1,-4,-2,-2,12,-23,0,3.0,,,,,,,,,Char1_Wins
king k. rool,pokemon trainer,9,12,21,0.4285714285714285,King K. Rool,Pokemon Trainer,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,33,96,7,5,34,3,132,11,38,3,5.0,19100,7.608,46.59,4.993883333,,,,,,,,,,,,,,,,,37,-2,-2,-5,1,-2,6,-27,0,5.0,,,,,,,,,Char2_Wins
bowser,toon link,15,8,23,0.6521739130434783,Bowser,Toon Link,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,43,91,6,5,25,5,138,21,18,4,4.0,9000,6.249,51.7,3.5799,,,,,,,,,,,,,,,,,44,-3,1,5,-4,-8,2,-3,-1,4.0,,,,,,,,,Char1_Wins
luigi,roy,12,3,15,0.8,Luigi,Roy,9,97,3,3,40,2,112,8,10,1,9.0,23200,6.593,54.51,4.44425,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,97.0,0.083,1.65,1.134,0.77,1.32,1.815,0.075,95.0,0.114,2.145,1.208,1.302,1.8,2.2,0.05,2,-1,-4,9,1,-10,-11,-1,-3,6.0,2.0,-0.031,-0.4950000000000001,-0.07400000000000007,-0.532,-0.48,-0.38500000000000023,0.024999999999999994,Char1_Wins
kazuya,ness,4,2,6,0.6666666666666666,Kazuya,Ness,80,113,5,1,46,2,116,10,7,1,10.0,22100,8.638,53.49,5.6807,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,,,,,,,,,94.0,0.077,1.609,0.907,1.007,1.31,1.826,0.1,19,0,-2,20,-2,-18,-15,-13,-3,1.0,,,,,,,,,Char1_Wins
ken,young link,12,3,15,0.8,Ken,Young Link,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,103.0,0.12,1.76,0.825,1.12,1.6,1.936,0.035,,,,,,,,,15,-2,-1,4,-2,-37,5,-2,-3,-3.0,,,,,,,,,Char1_Wins
isabelle,zelda,4,1,5,0.8,Isabelle,Zelda,68,88,5,3,28,5,134,21,21,2,7.0,9000,4.12,52.89,3.70535,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,,,,,,,,,85.0,0.071,1.43,0.914,1.092,1.35,1.958,0.065,3,-2,0,6,0,12,-1,5,0,0.0,,,,,,,,,Char1_Wins
