character_1,character_2,char1_winrate,matchup_binary,weight_diff,recovery_diff,speed_diff,combo_game_diff,projectiles_diff,killpower_diff,ledgetrap_diff,edgeguard_diff,spacing_diff,cheese_diff,Weight_diff,Gravity_diff,Run Maximum Velocity_diff,Walk Maximum Velocity_diff,Maximum Horizontal Air Speed_diff,Maximum Fall Speed_diff,Dash Initial Velocity_diff,Maximum Air Acceleration_diff
metaknight,ness,0.75,Char1_Wins,-14,4,3,7,-3,-15,-13,22,-1,-7.0,-14.0,0.033,0.4809999999999998,0.3320000000000001,0.0330000000000001,0.3499999999999998,0.3849999999999998,-0.025
kazuya,young link,0.8,Char1_Wins,25,-1,-4,15,-3,-32,-8,-2,-3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
littlemac,zelda,0.75,Char1_Wins,2,-6,5,3,-4,-6,3,-12,0,3.0,2.0,0.019,1.034,0.4719999999999998,0.1159999999999998,0.5999999999999999,0.4070000000000002,-0.025
bowser,pokemon trainer,0.5,Char1_Wins,39,-4,1,-4,-2,-2,12,-23,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
king k. rool,pokemon trainer,0.4285714285714285,Char2_Wins,37,-2,-2,-5,1,-2,6,-27,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,toon link,0.6521739130434783,Char1_Wins,44,-3,1,5,-4,-8,2,-3,-1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
luigi,roy,0.8,Char1_Wins,2,-1,-4,9,1,-10,-11,-1,-3,6.0,2.0,-0.031,-0.4950000000000001,-0.074,-0.532,-0.48,-0.3850000000000002,0.0249999999999999
kazuya,ness,0.6666666666666666,Char1_Wins,19,0,-2,20,-2,-18,-15,-13,-3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ken,young link,0.8,Char1_Wins,15,-2,-1,4,-2,-37,5,-2,-3,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isabelle,zelda,0.8,Char1_Wins,3,-2,0,6,0,12,-1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,pikachu,0.6,Char1_Wins,56,-6,0,3,-2,-15,14,-23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diddy kong,luigi,0.5882352941176471,Char1_Wins,-7,3,3,-13,2,29,0,-1,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ness,wario,0.5789473684210527,Char1_Wins,-14,-2,-1,-9,3,5,14,-12,3,3.0,-13.0,-0.03,-0.0409999999999999,0.018,-0.264,-0.3,-0.0109999999999998,-0.0199999999999999
ken,zelda,0.5263157894736842,Char1_Wins,18,-3,1,13,-2,-11,1,-9,-1,-3.0,18.0,0.049,0.33,-0.089,0.028,0.25,-0.022,-0.03
pikachu,pokemon trainer,0.7241379310344828,Char1_Wins,-17,2,1,-7,0,13,-2,0,-1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diddy kong,lucina,0.6071428571428571,Char1_Wins,0,0,-1,-1,3,2,-8,-20,-3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ken,wario,0.9285714285714286,Char1_Wins,-5,-3,0,0,2,-18,12,-25,0,-2.0,-4.0,0.0129999999999999,0.1100000000000001,-0.064,-0.1509999999999998,-0.01,0.0989999999999999,-0.0849999999999999
diddy kong,pikachu,0.54,Char1_Wins,11,-3,0,0,1,-4,-1,-29,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pikachu,wario,0.64,Char1_Wins,-29,2,2,-8,2,16,-2,6,1,2.0,-28.0,-0.0119999999999999,0.3890000000000002,0.413,-0.3139999999999999,-0.06,0.143,-0.0199999999999999
metaknight,young link,0.6,Char1_Wins,-8,3,1,2,-4,-29,-6,33,-1,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,isabelle,0.75,Char1_Wins,47,-2,3,2,-4,-4,2,-6,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roy,young link,0.6818181818181818,Char1_Wins,7,-2,2,0,-4,-26,1,2,0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,metaknight,0.7142857142857143,Char1_Wins,55,-6,0,-3,0,11,11,-27,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isabelle,young link,0.4285714285714285,Char2_Wins,0,-1,-2,-3,0,-14,3,12,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,bowser,0.4583333333333333,Char2_Wins,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pokemon trainer,young link,0.5588235294117647,Char1_Wins,8,1,0,3,-2,-16,-7,29,-1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lucina,pokemon trainer,0.5957446808510638,Char1_Wins,-6,-1,2,-6,-2,7,5,-9,2,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,zelda,0.65,Char1_Wins,50,-4,3,8,-4,8,1,-1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ness,zelda,0.5882352941176471,Char1_Wins,9,-2,0,4,-1,12,3,4,2,2.0,9.0,0.006,0.179,-0.007,-0.0850000000000001,-0.04,-0.1319999999999999,0.035
ken,pokemon trainer,0.5652173913043478,Char1_Wins,7,-3,-1,1,0,-21,12,-31,-2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
