character,overall_winrate,matchup_count
banjo & kazooie,0.6738314825271347,23
byleth,0.6600549153125448,42
corrin,0.6471230158730159,32
bowser,0.6393315499185961,67
ike,0.6313906823550173,62
falco,0.6180891066992662,65
cloud,0.6089937529791776,73
chrom,0.6059605270261008,61
ganondorf,0.6046058839512227,46
hero,0.5953585846103147,34
diddy kong,0.5937861647623247,70
bayonetta,0.5929716532009262,52
king dedede,0.5810872244919949,62
fox,0.5731294138024641,66
incineroar,0.5729636787332122,59
ken,0.5675501667940825,46
ice climbers,0.5665128081794749,27
king k. rool,0.5664498845630223,57
greninja,0.5629643625768944,60
mii brawler,0.5624836738214348,31
inkling,0.5611060056093792,73
dr. mario,0.5608207070707071,30
link,0.5551471283287063,69
marth,0.5545077162724222,37
simon,0.5508994708994709,15
mewtwo,0.5497606097606097,30
kazuya,0.5401440513509479,29
joker,0.5393140472061833,71
mario,0.537733985756097,65
isabelle,0.5317722295745811,47
littlemac,0.5300395083676818,37
jigglypuff,0.5272201445278369,39
lucas,0.5219474493215912,46
mii gunner,0.5160714285714285,8
metaknight,0.5152751700913466,40
mii swordfighter,0.5147222222222222,20
lucina,0.51232355368319,70
kirby,0.5119976641715772,46
lucario,0.5056271262031987,35
luigi,0.5003210030267446,55
megaman,0.4945990068454572,52
pichu,0.48310097844499106,56
palutena,0.48255565562507474,75
ness,0.4809581519540975,72
olimar,0.4730465624910069,45
pikachu,0.46999124137498693,66
ridley,0.4699565588272315,55
peach,0.4635750412216296,59
pokemon trainer,0.44690007571058193,71
robin,0.4459647153200784,50
roy,0.4448807916994181,68
sheik,0.4407668301687715,53
piranha plant,0.43859895248784136,27
villager,0.4382830910081381,54
toon link,0.433620704915801,62
ryu,0.4334433773509403,21
samus,0.430102776592842,61
shulk,0.4297882049451901,59
rosalina & luma,0.42596782302664665,34
pyra mythra,0.42512038786908735,58
sonic,0.41352275783188847,65
terry,0.40983161104128846,31
snake,0.40137793134972916,74
wario,0.39855320358553553,60
zero suit samus,0.39723520176214927,67
yoshi,0.3878924776210859,72
sephiroth,0.38673491326355103,34
steve,0.3850468975468975,28
wii fit trainer,0.38457925970180873,36
wolf,0.37564294927811165,75
young link,0.3715047696955543,63
zelda,0.36944224914137735,62
sora,0.3552316937720664,35
pit,0.3507384772090654,17
